"FAOSTATCODE";"COMMODITY";"DEFINITION";"DerivedCode"
"0276";"Oil of Tung Nuts";"Â";275
"0277";"JOJOBA SEEDS Simmondsia californica (syn. S. chinensis)";"From the shrub or small tree of the Buxaceae family.";0
"0278";"Jojoba Oil";"Â©Â FAO 1994
          Return to top";277
"0280";"SAFFLOWER SEED Carthamus tinctorius";"Valued mainly for its oil. Minor uses include as a human food and as
        poultry feed.";0
"0281";"Oil of Safflower Seed";"See Chapter 11.";280
"0289";"SESAME SEED Sesamum indicum";"Valued for its oil, but also as a food, either raw or roasted, as well
        as in bakery products and other food preparations.";0
"0290";"Oil of Sesame Seed";"See Chapter 11.";289
"0292";"MUSTARD SEED white mustard (Brassica alba; B. hirta; Sinapis alba); black mustard (Brassica nigra; Sinapis nigra)";"In addition to the oil extracted from them, white mustard seeds, may
        be processed into flour for food use. Black mustard seeds also yield
        oil and are processed into flour that is used mainly in pharmaceutical
        products.";0
"0293";"Oil of Mustard Seed";"See Chapter 11.";292
"0295";"Flour of Mustard Seed";"Includes flour, meal and prepared mustard.";292
"0296";"POPPY SEED Papaver somniferum";"The source of opium, poppy seeds are also used in baking and
        confectionery.";0
"0297";"Oil of Poppy Seed";"See Chapter 11.";296
"0305";"[TALLOWTREE SEEDS] Borneo tallow tree (Shorea aptera; S. stenocarpa); Chinese tallow tree (Sapium sebiferum; Stillingia sebifera)";"Grown wild and cultivated. FAO considers vegetable tallow and
        stillingia oil to be primary products (see below).";0
"0306";"VEGETABLE TALLOW";"See Chapter 14.";305
"0299";"MELONSEED Cucumis melo";"Includes seeds of other Cucurbitaceae.";0
"0310";"[KAPOK FRUIT] Ceiba pentandra, Bombacaceae";"The fruit of kapok contains fibre (see Chapter 14.";0
"0314";"Cake of Kapok";"See Chapter 
        
          Â";310
"0328";"[SEED COTTON] Gossypium spp.: Unginned cotton";"Grown for both seed and for fibre. FAO considers cottonseed, cotton
        lint and linters to be primary products. Lint content ranges from 30
        to 40%, seed 55 to 65%, and linters 2 to 5% though they are not always
        separated.";0
"0329";"COTTONSEED";"Used for extracting oil.";328
"0331";"Oil of Cottonseed";"See Chapter 11.";328
"0333";"LINSEED Linum usitatissimum Flaxseed";"An annual herbaceous that is cultivated for its fibre as well as its
        oil.";0
"0334";"Oil of Linseed";"See Chapter 11.";333
"0336";"HEMPSEED Cannabis sativa";"An annual herbaceous that is cultivated for its fibre as well as its
        oil. In major producing countries oil is extracted from the seeds.";0
"0337";"Oil of Hempseed";"See Chapter 11.";336
"0339";"OILSEEDS NES Includes inter alia: beech nut (Fagus sylvatica);(Aleurites 
        moluccana);(Carapa guineensis);(Croton tiglium);(Bassia 
        latifolia);(Guizotia abyssinica);(Licania rigida);(Perilla 
        frutescens);(Jatropha curcas);(Shorea robusta);(Pongamia 
        glabra);(Astrocaryum spp.)";"Other oilseeds, oleaginous fruits and nuts that are not identified
        separately because of their minor relevance at the international
        level. Because of their limited local importance, some countries
        report commodities under this heading that are classified individually
        by FAO. Also included under this code are tea seeds, grape pips and
        tomato seeds from which oil is extracted.";0
"0340";"Oil of Vegetable Origin nes";"See Chapter 11.";339
"0343";"Flour of Oilseeds";"Flours and meals of oilseeds and oleaginous fruits (excluding
        mustard), non defatted or partially defatted.";339
"0036";"Oil of Rice Bran";"See Chapter 14.";339
"1241";"Liquid Margarine";"See Chapter 14.";339
